iter	Logloss
0	0.6923262842
1	0.6915403599
2	0.6905336018
3	0.6896733151
4	0.6892079542
5	0.6883308636
6	0.6877779417
7	0.6869070319
8	0.6862920447
9	0.6854741221
10	0.6847960396
11	0.6839276406
12	0.6833816721
13	0.6828780677
14	0.6822908941
15	0.6818004238
16	0.6814562319
17	0.6808499364
18	0.6802014701
19	0.6795615667
20	0.6789644137
21	0.6786073451
22	0.6781161023
23	0.6777056601
24	0.6768289558
25	0.676134198
26	0.6756477195
27	0.6752775168
28	0.6748596706
29	0.6743491772
30	0.6738136388
31	0.6733044331
32	0.6727286552
33	0.6722195782
34	0.6719337174
35	0.6714737647
36	0.6712388952
37	0.6706700063
38	0.6702067701
39	0.6698194415
40	0.6695261122
41	0.6691416809
42	0.6686645379
43	0.6682043921
44	0.6679414516
45	0.6676321553
46	0.6673331603
47	0.6670857361
48	0.6667621468
49	0.6663110146
50	0.666063526
51	0.6657134752
52	0.6652206228
53	0.6650478186
54	0.6648944581
55	0.6646631941
56	0.6644971501
57	0.6641517349
58	0.6639001259
59	0.6635039124
60	0.6633058701
61	0.6631288166
62	0.6629588453
63	0.6626507079
64	0.6624435232
65	0.6623512622
66	0.6621557308
67	0.6619711445
68	0.6616178746
69	0.6613129563
70	0.6610538788
71	0.6607973123
72	0.6605356595
73	0.6603619539
74	0.6600605767
75	0.6598943396
76	0.6597175437
77	0.6594880181
78	0.6593362671
79	0.659034568
80	0.6585252335
81	0.6582425274
82	0.6577580448
83	0.6575730078
84	0.6574753387
85	0.6572929415
86	0.6570927745
87	0.6569529344
88	0.6566297958
89	0.6563776073
90	0.6560357331
91	0.6556863906
92	0.655540241
93	0.6552777512
94	0.6551162784
95	0.6548226272
