iter	Passed	Remaining
0	1	113
1	2	109
2	3	114
3	4	110
4	6	110
5	7	108
6	8	105
7	9	101
8	10	99
9	11	96
10	12	94
11	13	92
12	14	90
13	15	88
14	16	86
15	17	85
16	17	83
17	18	81
18	19	79
19	20	78
20	21	77
21	22	76
22	23	74
23	24	73
24	25	72
25	26	71
26	27	69
27	28	68
28	29	68
29	30	66
30	31	65
31	32	64
32	33	63
33	34	62
34	35	62
35	36	60
36	37	60
37	39	59
38	40	59
39	41	58
40	43	57
41	44	56
42	45	56
43	46	55
44	47	54
45	48	52
46	49	51
47	50	50
48	51	49
49	52	48
50	53	47
51	54	46
52	55	44
53	56	43
54	57	42
55	57	41
56	59	40
57	60	39
58	61	38
59	62	37
60	63	36
61	64	35
62	65	34
63	66	33
64	67	32
65	69	31
66	69	30
67	71	29
68	72	28
69	73	27
70	74	26
71	75	25
72	76	24
73	77	22
74	78	21
75	79	20
76	80	19
77	80	18
78	81	17
79	82	16
80	83	15
81	84	14
82	85	13
83	86	12
84	87	11
85	88	10
86	89	9
87	90	8
88	91	7
89	91	6
90	92	5
91	93	4
92	94	3
93	95	2
94	96	1
95	97	0
